seed,model,failure_rate,nose_level,avg_makespan,std_makespan,avg_energy,std_energy,success_episodes
2856,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_6_seed_2856\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,315.2567776753513,0.0,30376.35570974099,3.637978807091713e-12,10
2856,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_6_seed_2856\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.1,335.57278365381535,1.4764084351312217,29333.79731639243,33.29544021512538,10
2856,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_6_seed_2856\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.3,386.4008705744856,4.358366732221737,28619.938491572382,88.7861003918967,10
2856,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_6_seed_2856\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.5,447.71378481627636,3.812032122782749,28745.85074501257,96.89601838968775,10
2856,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_6_seed_2856\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,315.2567776753513,0.0,30376.35570974099,3.637978807091713e-12,10
2856,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_6_seed_2856\ddpg_lirl_pi_mu_20250921_085501.pth,0.1,0.0,367.2833025145278,19.418682125658265,31489.82872503209,497.0246376860722,10
2856,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_6_seed_2856\ddpg_lirl_pi_mu_20250921_085501.pth,0.3,0.0,373.9859661747738,13.59086847994811,31720.61874925286,318.7209401716501,10
2856,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_6_seed_2856\ddpg_lirl_pi_mu_20250921_085501.pth,0.5,0.0,364.5047463991778,10.195586828957609,31546.61918149853,261.31838609033974,10
42,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_7_seed_42\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,305.6000000005321,0.0,30477.35063467046,0.0,10
42,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_7_seed_42\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.1,326.4696519437297,1.136904507941258,29356.84344536935,43.81645314975123,10
42,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_7_seed_42\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.3,378.27489735574204,4.4608457095216885,28582.377807489287,77.54265651939252,10
42,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_7_seed_42\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.5,435.6397976419924,5.324780787026235,28642.53707341461,87.00251220711218,10
42,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_7_seed_42\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,305.6000000005321,0.0,30477.35063467046,0.0,10
42,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_7_seed_42\ddpg_lirl_pi_mu_20250921_085501.pth,0.1,0.0,348.94260699058714,11.064742884089606,31283.45805139335,260.7628253178679,10
42,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_7_seed_42\ddpg_lirl_pi_mu_20250921_085501.pth,0.3,0.0,357.0400540136367,15.02038181451052,31467.7446976507,353.5044883221627,10
42,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_7_seed_42\ddpg_lirl_pi_mu_20250921_085501.pth,0.5,0.0,362.0004076087856,11.369786544291124,31585.797958872117,266.67875145132655,10
